geo_aggregation_level	industry_code	industry_description	industry_ubiquity	industry_employment_share_nation	industry_complexity	industry_complexity_percentile
1	315250	Cut and Sew Apparel Manufacturing (except Contractors)	285	0.000278090597990814	-0.459408568021081	32.1
1	315990	Apparel Accessories and Other Apparel Manufacturing	328	8.37690705569506e-05	-0.217517336958295	40.34
1	316110	Leather and Hide Tanning and Finishing	238	2.2957188274253e-05	-0.743889443763186	24.39
1	316210	Footwear Manufacturing	171	7.42351258013763e-05	-0.847287858345078	21.65
1	316990	Other Leather and Allied Product Manufacturing	419	7.6076519463554e-05	-0.711590119501272	25.55
1	321113	Sawmills	926	0.000469985616019377	-1.77755840949497	4.33
1	321114	Wood Preservation	285	6.63590089846473e-05	-1.00252975735249	18.16
1	321211	Hardwood Veneer and Plywood Manufacturing	142	7.49177608350184e-05	-0.650634797435283	27.46
1	321212	Softwood Veneer and Plywood Manufacturing	59	8.52261234859012e-05	-1.05732991962268	17
1	321215	Engineered Wood Member Manufacturing	475	0.000229204751295865	-0.556687920243611	28.83
1	321219	Reconstituted Wood Product Manufacturing	119	8.214566119123e-05	-0.494308814929184	31.15
1	321911	Wood Window and Door Manufacturing	251	0.000331232874895531	-0.217616383512617	40.23
1	321912	Cut Stock, Resawing Lumber, and Planing	307	7.64551237679269e-05	-1.07434504998049	16.05
1	321918	Other Millwork (including Flooring)	547	0.000210762132529817	-0.894601709194114	20.27
1	321920	Wood Container and Pallet Manufacturing	798	0.000399381649682669	-1.20020744498414	12.78
1	321991	Manufactured Home (Mobile Home) Manufacturing	146	0.000178729913808321	-0.683053427313653	26.61
1	321992	Prefabricated Wood Building Manufacturing	401	0.000109043776088275	-0.989519054505688	18.37
1	321999	All Other Miscellaneous Wood Product Manufacturing	925	0.000203115472867254	-1.4843403458165	8.03
1	322110	Pulp Mills	53	2.62384255788189e-05	-0.536987629628042	29.57
1	322120	Paper Mills	172	0.000289534773554815	-0.237967764712171	39.7
1	322130	Paperboard Mills	131	0.000188808819305038	0.227112535967515	55.97
1	322211	Corrugated and Solid Fiber Box Manufacturing	380	0.000608095877111559	0.602396851461512	71.7
1	322212	Folding Paperboard Box Manufacturing	148	0.000166448219631615	1.30273520869675	91.02
1	322219	Other Paperboard Container Manufacturing	164	0.000150185443830139	0.60671109380774	72.12
1	322220	Paper Bag and Coated and Treated Paper Manufacturing	250	0.000313386844730313	0.872232930864252	80.15
1	322230	Stationery Product Manufacturing	140	7.5950318028763e-05	1.17523022530899	88.17
1	322291	Sanitary Paper Product Manufacturing	100	0.000165128840995164	0.751677197367535	76.87
1	322299	All Other Converted Paper Product Manufacturing	180	0.000102819750781537	0.826418664923364	79.41
1	323111	Commercial Printing (except Screen and Books)	567	0.00151734279620756	-0.117010080162701	43.72
1	323113	Commercial Screen Printing	650	0.000460858957712446	-0.562889707699903	28.62
1	323117	Books Printing	134	7.55545044378276e-05	1.14725109741759	87.54
1	323120	Support Activities for Printing	198	9.54771218482425e-05	1.0757682532195	85.85
1	324110	Petroleum Refineries	158	0.000371921364757919	-0.694757894785843	26.29
1	324121	Asphalt Paving Mixture and Block Manufacturing	359	0.000102722231491016	-0.148699398292402	42.24
1	324122	Asphalt Shingle and Coating Materials Manufacturing	104	7.89045788886431e-05	0.882825604367921	80.68
1	324191	Petroleum Lubricating Oil and Grease Manufacturing	150	6.38349802888274e-05	0.954081171271842	82.58
1	324199	All Other Petroleum and Coal Products Manufacturing	76	2.66916034582956e-05	0.420538273627777	63.04
1	325110	Petrochemical Manufacturing	51	0.000151223737452738	-0.484182939597227	31.47
1	325120	Industrial Gas Manufacturing	201	0.000126786550534118	0.292160712130761	58.61
1	325130	Synthetic Dye and Pigment Manufacturing	111	5.58269256084533e-05	1.0459214748616	84.9
1	325180	Other Basic Inorganic Chemical Manufacturing	251	0.000239415594656227	-0.113252249574408	43.93
1	325193	Ethyl Alcohol Manufacturing	170	6.14256801700902e-05	-1.88190431728991	3.38
1	325194	Cyclic Crude, Intermediate, and Gum and Wood Chemical Manufacturing	75	1.85573473431305e-05	-0.518870698705822	30.41
1	325199	All Other Basic Organic Chemical Manufacturing	253	0.000242111716217671	0.107728660666758	51
1	325211	Plastics Material and Resin Manufacturing	315	0.000357287734751018	0.0981344126856493	50.79
1	325212	Synthetic Rubber Manufacturing	107	5.46566941222095e-05	0.500632950329222	67.27
1	325220	Artificial and Synthetic Fibers and Filaments Manufacturing	114	0.000139372275440093	0.162881873248056	53.12
1	325311	Nitrogenous Fertilizer Manufacturing	196	5.17483246931624e-05	-0.902222991300402	19.85
1	325312	Phosphatic Fertilizer Manufacturing	41	3.36785738026335e-05	-0.622375868509385	27.88
1	325314	Fertilizer (Mixing Only) Manufacturing	282	4.33501928507071e-05	-0.686837510820382	26.5
1	325315	Compost Manufacturing	82	7.0730167771499e-06	0.455685658234431	65.15
1	325320	Pesticide and Other Agricultural Chemical Manufacturing	176	8.15662818769623e-05	-0.37765311841413	34.74
1	325411	Medicinal and Botanical Manufacturing	207	0.00026058301712799	0.280530598177919	58.29
1	325412	Pharmaceutical Preparation Manufacturing	211	0.00133259536853125	0.702164355638789	75.5
1	325413	In-Vitro Diagnostic Substance Manufacturing	85	0.000163144036611633	1.88032380284834	97.68
1	325414	Biological Product (except Diagnostic) Manufacturing	99	0.000267782235339931	1.06725047159582	85.53
1	325510	Paint and Coating Manufacturing	311	0.000246741014302959	0.257500794003737	57.23
