geo_aggregation_level,from,to,weight
1,113310,221122,0.473755047106326
1,114210,221122,0.347240915208614
1,115112,221122,0.471736204576043
1,115115,221122,0.495
1,115210,221122,0.502177971375233
1,115310,221122,0.307537012113055
1,212321,221122,0.305518169582773
1,212321,221210,0.249130938586327
1,213112,221210,0.281710914454277
1,111000,221310,0.304878048780488
1,112000,221310,0.322941176470588
1,113110,221310,0.253547776726585
1,113310,221310,0.366495976591075
1,114210,221310,0.38883632923368
1,115112,221310,0.334026334026334
1,115115,221310,0.328888888888889
1,115210,221310,0.347853142501556
1,115310,221310,0.3519394512772
1,212321,221310,0.311258278145695
1,213112,221310,0.245033112582781
1,221122,221310,0.364737550471063
1,221210,221310,0.245033112582781
1,111000,236115,0.496951219512195
1,112000,236115,0.519411764705882
1,113110,236115,0.260953608247423
1,113310,236115,0.547680412371134
1,114210,236115,0.360824742268041
1,115112,236115,0.471649484536083
1,115115,236115,0.517777777777778
1,115210,236115,0.580584940883634
1,115310,236115,0.367912371134021
1,212321,236115,0.314432989690722
1,221122,236115,0.476159793814433
1,221310,236115,0.352448453608247
1,111000,236117,0.254268292682927
1,112000,236117,0.264705882352941
1,113110,236117,0.281837160751566
1,113310,236117,0.372348207754206
1,114210,236117,0.354938271604938
1,115112,236117,0.260568260568261
1,115115,236117,0.29
1,115210,236117,0.337274424393279
1,115310,236117,0.347599164926931
1,212321,236117,0.263048016701461
1,221122,236117,0.320323014804845
1,221310,236117,0.363292336802271
1,236115,236117,0.427190721649485
1,111000,236118,0.459756097560976
1,112000,236118,0.451764705882353
1,113110,236118,0.245376955903272
1,113310,236118,0.523470839260313
1,114210,236118,0.301564722617354
1,115112,236118,0.458766458766459
1,115115,236118,0.440555555555556
1,115210,236118,0.517112632233976
1,115310,236118,0.323613086770982
1,212321,236118,0.316500711237553
1,221122,236118,0.435397039030956
1,221310,236118,0.322901849217639
1,236115,236118,0.60180412371134
1,236117,236118,0.391891891891892
1,111000,236220,0.28719512195122
1,112000,236220,0.295294117647059
1,113310,236220,0.261155815654718
1,114210,236220,0.281893004115226
1,115112,236220,0.297990297990298
1,115115,236220,0.283333333333333
1,115210,236220,0.29247044181705
1,212321,236220,0.284324324324324
1,221122,236220,0.295423956931359
1,221310,236220,0.296121097445601
1,236115,236220,0.308634020618557
1,236117,236220,0.329853862212944
1,236118,236220,0.302275960170697
1,111000,237110,0.407317073170732
1,112000,237110,0.394705882352941
1,113310,237110,0.36356986100951
1,114210,237110,0.348778433024431
1,115112,237110,0.41995841995842
1,115115,237110,0.413333333333333
1,115210,237110,0.427504667081518
1,115310,237110,0.275484414490312
1,212321,237110,0.295703454085931
1,221122,237110,0.380888290713324
1,221210,237110,0.243470935130581
1,221310,237110,0.368997472620051
1,236115,237110,0.434922680412371
1,236117,237110,0.342038753159225
1,236118,237110,0.409672830725462
1,236220,237110,0.348778433024431
1,211120,237120,0.375502008032129
1,211130,237120,0.349397590361446
1,213111,237120,0.379518072289157
1,213112,237120,0.478743068391867
1,221210,237120,0.249262536873156
1,111000,237130,0.267682926829268
1,112000,237130,0.289411764705882
1,113310,237130,0.275054864667154
1,114210,237130,0.312757201646091
1,115112,237130,0.277200277200277
1,115115,237130,0.276666666666667
1,115210,237130,0.283136278780336
1,115310,237130,0.272222222222222
1,212321,237130,0.308211473565804
1,221122,237130,0.314939434724092
1,221310,237130,0.303689687795648
1,236115,237130,0.288659793814433
1,236117,237130,0.315240083507307
1,236118,237130,0.282361308677098
1,236220,237130,0.353513513513514
1,237110,237130,0.352148272957035
1,237120,237130,0.240719910011249
1,113110,237210,0.247005988023952
1,114210,237210,0.247942386831276
1,236115,237210,0.275773195876289
