geo_aggregation_level,geoid,name,industrial_diversity,economic_complexity_index,economic_complexity_percentile_score,strategic_index,strategic_index_percentile
1,48149,Fayette County,163,-0.278912520951924,45.34,-6.74859779483317,92.49
1,48151,Fisher County,72,-1.03638290754776,13.2,-13.8728090872672,46.26
1,48153,Floyd County,73,-1.59280681690346,2.64,-15.5932159403694,20.68
1,48155,Foard County,72,-0.307303825300833,44.42,-11.3477229861012,69.74
1,48157,Fort Bend County,229,1.50878041165923,91.25,-6.3985481371354,93.48
1,48159,Franklin County,73,-1.12154503168117,10.5,-16.8593177414539,5.6
1,48161,Freestone County,105,-0.821618328398129,21.19,-15.2865766789778,26.09
1,48163,Frio County,73,-1.26735062406834,7.16,-15.163823825989,27.81
1,48165,Gaines County,131,-0.895259575514374,18.23,-10.35971860434,76.96
1,48167,Galveston County,183,0.812884214384535,79.32,-8.66085114709041,85.52
1,48169,Garza County,74,-0.963651494269478,15.59,-14.7835429211649,33.73
1,48171,Gillespie County,177,0.26142376082158,65.22,-7.3250484593873,90.87
1,48173,Glasscock County,70,-0.670378013504743,27.78,-10.4706077422096,76.26
1,48175,Goliad County,91,-0.701595308593717,26.28,-16.0578893571553,14.38
1,48177,Gonzales County,83,-1.24362661654743,7.64,-14.4789004476133,38.37
1,48179,Gray County,108,-0.649259866884986,28.6,-14.942430990176,31.24
1,48181,Grayson County,201,0.771869056709808,78.43,-6.74493250065876,92.52
1,48183,Gregg County,216,1.02210115411973,83.07,-5.54844377510259,94.88
1,48185,Grimes County,136,-0.418180690355175,39.68,-9.65403075039276,81.04
1,48187,Guadalupe County,195,0.655122469992525,75.95,-7.09832486892677,91.47
1,48189,Hale County,115,-0.600242750752563,30.86,-12.4733349950863,60.58
1,48191,Hall County,94,-0.456456891695747,38.02,-14.0419685343147,44.13
1,48193,Hamilton County,84,-1.43251878919152,4.49,-18.2718182500344,0.57
1,48195,Hansford County,78,-1.39286706699254,5.03,-13.6531730432339,48.9
1,48197,Hardeman County,68,-1.01442437304781,13.81,-14.0272276981414,44.45
