geoid	state_name	state_abbreviation	eci_county_empwt	eci_county_simple	eci_county_median	eci_within_sd	n_counties	total_employment	top_county_emp_share	eci_county_empwt_z	eci_native_eigen	native_diversity	rank_empwt	rank_native	rank_shift
39	Ohio	OH	1.79604649864022	0.561318372608601	2.05274814817653	0.923891660494395	88	5888865	0.145624496401259	0.591930032672525	-1.21273595709856	396	16	45	29
40	Oklahoma	OK	0.894922312160558	-0.570995953423618	1.62803926010344	1.01035180385671	77	1926802	0.28882054305528	-0.958196884374643	-0.840697413851334	283	42	40	-2
41	Oregon	OR	1.52816989055698	0.286470924371128	1.66207676039141	0.891164970216316	36	2187031	0.255262499708509	0.131124799756389	0.371818942380021	343	29	20	-9
42	Pennsylvania	PA	1.83182221344321	0.727404769700414	1.89283144863009	0.800096998832107	67	6349607	0.127302681882517	0.653471937023533	-0.569000341041852	399	14	32	18
44	Rhode Island	RI	1.99435523365541	1.71851113838149	2.26110656407108	0.327191105354909	5	542563	0.595501351916736	0.933063599660137	0.675016789589625	272	8	14	6
45	South Carolina	SC	1.43844937321053	0.483086826130048	1.41503134844919	0.672544930492186	46	2475258	0.133571934723572	-0.0232137376359441	-0.614604140087388	380	30	33	3
46	South Dakota	SD	0.414369653570813	-0.899220103851133	0.56749579015897	0.989410046618696	66	531789	0.284962644958809	-1.78485054911384	-0.716270807548902	281	49	36	-13
47	Tennessee	TN	1.59861825641441	0.197600634519951	1.90290052117567	0.93072170224797	95	3578537	0.17342254669995	0.25231110217293	-0.980317120846174	383	25	42	17
48	Texas	TX	1.56403872259033	-0.32176857903212	1.77897240699385	0.924415665302313	254	15216470	0.18063341892042	0.19282688571986	-0.137653819680927	363	27	26	-1
49	Utah	UT	1.90752562999886	0.282512880144343	2.12408540004672	0.755341966394159	29	1913714	0.459186691428291	0.783698053996139	0.287218427499512	392	10	23	13
50	Vermont	VT	1.18628516553807	0.636893332099267	1.04183941995303	0.774434848535284	14	348977	0.335477696237861	-0.456990271096881	0.441891771455503	291	34	18	-16
51	Virginia	VA	1.61456942266423	0.441552301759766	1.69784836233463	0.8877709920922	133	4416978	0.163664840531241	0.279750530093219	0.497062654863039	258	24	17	-7
53	Washington	WA	1.78312906117912	0.341565966557365	1.56347819608511	0.993581937631421	39	4002151	0.399775020982467	0.569709269088367	0.803992363742018	290	17	12	-5
54	West Virginia	WV	0.615834658587412	-0.168856406991666	0.876950005914629	0.719505677542848	55	742325	0.141811201293234	-1.43828752061575	-0.75814593778504	252	46	38	-8
55	Wisconsin	WI	1.56488195357149	0.302467070574902	1.73065938430106	1.02311066550978	72	3154052	0.164264571414802	0.194277423904052	-1.09633202100379	388	26	43	17
56	Wyoming	WY	0.198909101401521	-0.316805016605769	0.14150511970114	0.666819890201857	23	320509	0.179249256651139	-2.15548892115026	-0.258934672678448	231	51	27	-24
