geo_aggregation_level	industry_code	industry_description	industry_ubiquity	industry_employment_share_nation	industry_complexity	industry_complexity_percentile
3	541830	Media Buying Agencies	26	0.000112365168394819	1.17085458937852	87.21
3	541840	Media Representatives	75	0.000119931518053425	1.1174259237715	86.47
3	541850	Indoor and Outdoor Display Advertising	140	0.000201142141341431	-0.279562761767666	42.6
3	541860	Direct Mail Advertising	70	0.000209322288887429	1.27988573863225	88.48
3	541870	Advertising Material Distribution Services	107	0.000109760829695042	0.917327782382529	82.88
3	541890	Other Services Related to Advertising	96	0.000612432617325286	0.588566719892839	75.48
3	541910	Marketing Research and Public Opinion Polling	62	0.000436186577210806	1.97287941747188	96.09
3	541921	Photography Studios, Portrait	251	0.000333487291435207	0.281923618560066	67.86
3	541922	Commercial Photography	164	0.000114149197768456	1.29926536834063	88.79
3	541930	Translation and Interpretation Services	66	0.000268137893928887	1.51563058628186	91.86
3	541940	Veterinary Services	469	0.00279451278915015	-0.471817823242115	34.14
3	541990	All Other Professional, Scientific, and Technical Services	130	0.00201560327004897	0.546025361608975	74.95
3	551111	Offices of Bank Holding Companies	110	4.88915831238026e-05	-0.322201848841097	40.8
3	551112	Offices of Other Holding Companies	146	0.000510192245858017	-0.0323388884063058	54.12
3	551114	Corporate, Subsidiary, and Regional Managing Offices	133	0.0144347537549573	0.10168602756755	60.04
3	561110	Office Administrative Services	139	0.0037421134715649	-0.262695141206954	43.66
3	561210	Facilities Support Services	199	0.00103273502303899	-0.261037927167876	43.87
3	561311	Employment Placement Agencies	106	0.00146090780914057	0.152488961283576	62.26
3	561312	Executive Search Services	76	0.000250813878789396	1.43043486961046	90.7
3	561320	Temporary Help Services	186	0.0150462914893814	-0.808656798352953	20.19
3	561330	Professional Employer Organizations	113	0.00244535931051429	-0.297284833864481	41.86
3	561410	Document Preparation Services	143	0.000371841054753961	0.109594111229622	60.36
3	561421	Telephone Answering Services	156	0.000217754839303009	-0.0474778531247842	53.49
3	561422	Telemarketing Bureaus and Other Contact Centers	169	0.00188116432342344	-0.284500446715738	42.07
3	561431	Private Mail Centers	263	0.000221351580194553	0.360361021584682	70.72
3	561439	Other Business Service Centers (including Copy Shops)	105	0.000254513875400314	1.09737033449709	86.05
3	561440	Collection Agencies	169	0.00052026541492588	-0.34757107312435	39.53
3	561450	Credit Bureaus	43	0.000129075385646918	1.40884379574275	90.27
3	561491	Repossession Services	176	5.69799478081346e-05	-0.062098676035869	52.96
3	561492	Court Reporting and Stenotype Services	191	0.000130773368587742	0.0279123164359834	56.66
3	561499	All Other Business Support Services	106	0.000594804571456526	0.600712542216042	76
3	561510	Travel Agencies	86	0.000588941941167599	1.61827507600878	93.13
3	561520	Tour Operators	124	0.00016176729368664	1.80243929149133	94.71
3	561591	Convention and Visitors Bureaus	261	6.08749830000931e-05	-0.226703142724065	45.98
3	561599	All Other Travel Arrangement and Reservation Services	83	0.000463589497847015	1.56075826499329	92.49
3	561611	Investigation and Personal Background Check Services	131	0.000276329514332594	0.278085948842951	67.34
3	561612	Security Guards and Patrol Services	98	0.00472917504806726	0.90436003860331	82.66
3	561613	Armored Car Services	149	0.000151912108915234	1.01477653410359	84.67
3	561621	Security Systems Services (except Locksmiths)	143	0.000862850682523747	0.308979365015956	68.92
3	561622	Locksmiths	246	0.000137857858222601	0.0931334445642565	59.83
3	561710	Exterminating and Pest Control Services	307	0.000907439944006947	-0.507162079980334	32.56
3	561720	Janitorial Services	248	0.00822712889831356	0.0295451534885232	56.87
3	561730	Landscaping Services	347	0.00737144875185749	-0.0157338957966295	55.29
3	561740	Carpet and Upholstery Cleaning Services	299	0.000268826265391384	-0.0789517020476466	52.54
3	561790	Other Services to Buildings and Dwellings	180	0.000931521472336611	0.579570185771267	75.37
3	561910	Packaging and Labeling Services	147	0.000372919503378539	-0.580804341536026	30.13
3	561920	Convention and Trade Show Organizers	74	0.000343721080510985	2.46151989979952	97.46
3	561990	All Other Support Services	198	0.00125523388900437	-0.551172407752764	31.18
